id,name,category,status,parsed_fields_count,warnings,raw_snippet
28274,Lindt XXL Goldhasen Hohlfigur aus Alpenvollmilch Schokolade 500g,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2294.0 not in [0.0, 900.0] | energy_mismatch:kJ=550.0 inconsistent_with_kcal=2294.0 | warnings_present","Brennwert: 550,00 Kilokalorien (kcal) Brennwert: 2.294,00 Kilojoule (kJ) Fett: 33,00 davon gesättigte Fettsäuren: 20,00 Kohlenhydrate: 55,0…"
28286,Lindt Mini Engel Figuren aus Alpenvollmilch Chocolade 50g 3er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2377 kJ 570 kcal Fett 37 g davon gesättigte Fettsäuren 22 g Kohlenhydrate 51 g davon Zucker 50 g Eiweiß 7,4 g Salz 0,20 g"
28355,Lindt Weihnachtsmann aus Alpenvollmilch Chocolade 40g 5er Pack,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2272.0 not in [0.0, 900.0] | energy_mismatch:kJ=544.0 inconsistent_with_kcal=2272.0 | warnings_present","Brennwert: 544 Kilokalorien (kcal) Brennwert: 2272 Kilojoule (kJ) Kohlenhydrate: 56g Kohlenhydrate, davon Zucker: 54g Fett: 32g Fett, davon…"
28383,Lindt Tanne Vollmilch Schoko Kugeln mit Füllung 187g 2er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2574.0 not in [0.0, 900.0] | energy_mismatch:kJ=620.0 inconsistent_with_kcal=2574.0 | warnings_present","Brennwert: 620,00 Kilokalorien (kcal) Brennwert: 2.574,00 Kilojoule (kJ) Fett: 48,00 Fett, davon gesättigte Fettsäuren: 34,00 Kohlenhydrate…"
28387,Lindt Weihnachtschocolade Classic mit Zimt und Koriander 100g 4er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2430 kJ 583 kcal Fett 38 g davon gesättigte Fettsäuren 18 g Kohlenhydrate 53 g davon Zucker 50 g Eiweiß 6,0 g Salz 0,15 g"
28399,Lindt Weihnachtsmarkt Pralinen aus Vollmilch Schokolade 130g,NUTRITION,OK,8,all_checks_passed,"Energie 2147 kJ 514 kcal Fett 30 g davon gesättigte Fettsäuren 13 g Kohlenhydrate 52 g davon Zucker 47 g Eiweiß 7,3 g Salz 0,74 g"
28667,Lindt und Sprüngli Lindor Kissenpackung Mischung 25 Lindor Kugeln,NUTRITION,OK,8,all_checks_passed,"Energie 2632 kJ 634 kcal Fett 50 g davon gesättigte Fettsäuren 35 g Kohlenhydrate 40 g davon Zucker 38 g Eiweiß 4,8 g Salz 0,13 g"
28679,Lindt Creation Creme Brulee mit knusprigem Caramel in Schokolade 150g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2430 kJ / 583 kcal Fett 39,0 g gesättigte Fettsäuren 23,0 g Kohlenhydrate 53,0 g davon Zucker 51,0 g Eiweiß 5,3 g Salz …"
28682,Lindt und Sprüngli Trüffel Eier Marc de Champagne Ostern 90g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2023 kJ / 484 kcal Fett 26 g gesättigte Fettsäuren 16 g Kohlenhydrate 52 g davon Zucker 50 g Eiweiß 4,6 g Salz 0,15 g"
28683,Lindt Creation Chocolate de Luxe mit flüssigem Schokokern 150g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2229kJ / 534 kcal Fett 31,0 g gesättigte Fettsäuren 18,0 g Kohlenhydrate 55,0 g davon Zucker 51,0 g Eiweiß 6,2 g Salz 0…"
28689,Lindt und Sprüngli Mini Goldhäschen in einer Porzellan Tasse 100g,NUTRITION,OK,7,all_checks_passed,"Energie 2339 kJ 561 kcal Fett 35 g davon ges. Fettsäuren 20 g Kohlenhydrate 53 g davon Zucker 52 g Eiweiß 7,4 g Salz 0,19 g"
28691,Lindt Goldhase Hohlfigur aus Alpenvollmilch Schokolade Ostern 50g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2272 kJ / 544 kcal Fett 32 g gesättigte Fettsäuren 19 g Kohlenhydrate 56 g davon Zucker 54 g Eiweiß 7,2 g Salz 0,32 g"
28700,Lindt Alkohol Spezialitäten Ostereier mit alkoholischer Füllung 216g,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:1871.0 not in [0.0, 900.0] | energy_mismatch:kJ=1871.0 inconsistent_with_kcal=1871.0 | warnings_present","434,00 Kilokalorien (kcal) Brennwert: 1.871,00 Kilojoule (kJ) Fett: 23,00 Fett, davon gesättigte Fettsäuren: 14,00 Kohlenhydrate: 46,00 Koh…"
29190,Lindt Edelbitter Schokolade Mousse Minze gefüllte Schokolade 150g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:7, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2421.0 not in [0.0, 900.0] | energy_mismatch:kJ=583.0 inconsistent_with_kcal=2421.0 | warnings_present","Brennwert: 583 Kilokalorien (kcal) Brennwert: 2421 Kilojoule (kJ) Kohlenhydrate: 40g Kohlenhydrate, davon Zucker: 35g Fett: 42g Fett, davon…"
29192,Lindt und Sprüngli Mousse Cranberry mit dunkler Bitterschokolade 150g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:6, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2209.0 not in [0.0, 900.0] | energy_mismatch:kJ=531.0 inconsistent_with_kcal=2209.0 | warnings_present","Brennwert: 531 Kilokalorien (kcal) Brennwert: 2209 Kilojoule (kJ) Kohlenhydrate: 46g Kohlenhydrate, davon Zucker: 40g Fett: 34g Fett, davon…"
29470,Lindt Cresta Eier zarte Nougat creme mit knusprigen Krokant 450g,NUTRITION,OK,8,all_checks_passed,"Energie 2335 kJ 559 kcal Fett 33 g davon gesättigte Fettsäuren 15 g Kohlenhydrate 57 g davon Zucker 51 g Eiweiß 7,1 g Salz 0,09 g"
29609,Lindt und Sprüngli Excellence Mild 85 Prozent Edelbitter 100g,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:8, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2526.0 not in [0.0, 900.0] | energy_mismatch:kJ=603.0 inconsistent_with_kcal=2526.0 | warnings_present","Brennwert: 603 Kilokalorien (kcal) Brennwert: 2526 Kilojoule (kJ) Kohlenhydrate: 19g Kohlenhydrate, davon Zucker: 14g Fett: 55g Fett, davon…"
29610,Lindt Excellence Extra Cremig Vollmilch Schokoladentafel 100g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2369 kJ / 569 kcal Fett 37,0 g gesättigte Fettsäuren 23,0 g Kohlenhydrate 51,0 g davon Zucker 50,0 g Eiweiß 6,4 g Salz …"
29614,Lindt Excellence Chili Feinherbe Schokolade mit feuriger Chili 100g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2240 kJ / 538 kcal Fett 33,0 g gesättigte Fettsäuren 20,0 g Kohlenhydrate 50,0 g davon Zucker 48,0 g Eiweiß 6,1 g Salz …"
29774,Lindt Von Herzen Pralinenmischung in Metall Herz Dose Geschenk 30g,NUTRITION,OK,8,all_checks_passed,"Energie kcal 503 kcal Energie kJ 2111 kj Fett 27 g davon gesättigte Fettsäuren 15 g Kohlenhydrate 56 g davon Zucker 55 g Eiweiß 6,3 g Salz …"
30343,Lindt Geschenkbeutel Mischung aus Vollmilch Schokolade 130g 3er Pack,NUTRITION,OK,8,all_checks_passed,"Brennwert in kJ 2368 Brennwert in kcal 568 Fett in g 36 Fett, davon gesättigte Fettsäuren in g 22 Kohlenhydrate in g 53 Kohlenhydrate, davo…"
30594,Lindt Excellence 99 Prozent Cacao Bitter extrem kräftig 50g 9er Pack,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2365 kJ / 575 kcal Fett 49,0 g gesättigte Fettsäuren 30,0 g Kohlenhydrate 10,0 g davon Zucker 1,0 g Eiweiß 14,0 g Salz …"
30595,Lindt und Sprüngli mit Cacao Excellence Edelbitter 100g 5er Pack,MIXED,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:593437.0 not in [0.0, 900.0] | energy_mismatch:kJ=2483.0 inconsistent_with_kcal=593437.0 | warnings_present","Zutaten: Kakaomasse, Kakaobutter, fettarmes Kakaopulver,Zucker, Vanille. Kann HASELNÜSSE und andere SCHALENFRÜCHTE, MILCH, SOJA enthalten. …"
31117,Lindt Kleiner Dank Pralinen Mischung Geschenkverpackung 40g 4er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2183.0 not in [0.0, 900.0] | energy_mismatch:kJ=523.0 inconsistent_with_kcal=2183.0 | warnings_present","Brennwert: 523,00 Kilokalorien (kcal) Brennwert: 2.183,00 Kilojoule (kJ) Fett: 31,00 Fett, davon gesättigte Fettsäuren: 17,00 Kohlenhydrate…"
31187,Lindt Weihnachts Knusper Selection mit gerösteten Nüssen 2er Pack 210g,NUTRITION,OK,8,all_checks_passed,"Energie 2404 kJ 577 kcal Fett 37 g davon gesättigte Fettsäuren 13 g Kohlenhydrate 49 g davon Zucker 42 g Eiweiß 9,2 g Salz 0,19 g"
31671,Lindt Goldhasen Geschenk Ei aus zarter Alpenmilch Schokolade 230g,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2294.0 not in [0.0, 900.0] | energy_mismatch:kJ=550.0 inconsistent_with_kcal=2294.0 | warnings_present","Kohlenhydrate: 55,00 Kohlenhydrate, davon Zucker: 55,00 Eiweiß: 7,20 Salz: 0,20 Fett: 33,00 Fett, davon gesättigte Fettsäuren: 20,00 Brennw…"
32089,Lindt Edelbitter Adventskalender gefüllt mit dunkler Schokolade 250g,NUTRITION,OK_WITH_WARNINGS,8,energy_mismatch:kJ=2336.0 inconsistent_with_kcal=612.0 | warnings_present,"Energie 2336 kJ 612 kcal Fett 48 g davon gesättigte Fettsäuren 33 g Kohlenhydrate 37 g davon Zucker 35 g Eiweiß 5,1 g Salz 0,04 g"
32142,Lindt Milch Kugeln aus Vollmilchschokolade und Füllung  475g,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2574.0 not in [0.0, 900.0] | energy_mismatch:kJ=620.0 inconsistent_with_kcal=2574.0 | warnings_present","Brennwert: 620,00 Kilokalorien (kcal) Brennwert: 2.574,00 Kilojoule (kJ) Fett: 48,00 Fett, davon gesättigte Fettsäuren: 34,00 Kohlenhydrate…"
32297,Lindt & Sprüngli Mini Santa Hohlfiguren Edelbitter 3er Pack (3 x 50 g),NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2368.0 not in [0.0, 900.0] | energy_mismatch:kJ=570.0 inconsistent_with_kcal=2368.0 | warnings_present","Brennwert: 570,00 Kilokalorien (kcal) Brennwert: 2.368,00 Kilojoule (kJ) Fett: 41,00 Fett, davon gesättigte Fettsäuren: 26,00 Kohlenhydrate…"
32621,Lindt Mini Weihnachtsmänner Hohlfiguren aus Vollmilch 50g 3er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2377.0 not in [0.0, 900.0] | energy_mismatch:kJ=570.0 inconsistent_with_kcal=2377.0 | warnings_present","Brennwert: 570,00 Kilokalorien (kcal) Brennwert: 2.377,00 Kilojoule (kJ) Fett: 37,00 Fett, davon gesättigte Fettsäuren: 22,00 Kohlenhydrate…"
32624,Lindt Engel Figuren aus feiner Alpenvollmilchschokolade 200g,NUTRITION,OK,8,all_checks_passed,"Brennwert in kJ 2377,000 Brennwert in kcal 570,000 Fett in g 37,000 Fett, davon gesättigte Fettsäuren in g 22,000 Kohlenhydrate in g 51,000…"
32632,Lindt Goldstücke Trüffel Herz Duo mit Schokolade 50g 4er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2038.0 not in [0.0, 900.0] | energy_mismatch:kJ=481.0 inconsistent_with_kcal=2038.0 | warnings_present","Brennwert: 481,00 Kilokalorien (kcal) Brennwert: 2.038,00 Kilojoule (kJ) Fett: 27,00 Fett, davon gesättigte Fettsäuren: 17,00 Kohlenhydrate…"
32923,Lindt Lindor Eier Vollmilchschokolade 25er Ostereier Schokolade 450g,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2630 kJ / 634 kcal Fett 49 g gesättigte Fettsäuren 37 g Kohlenhydrate 42 g davon Zucker 42 g Eiweiß 5 g Salz 0,19 g"
32926,Lindt Cresta Eier Ostereier aus Alpenvollmilch Schokolade 90g,NUTRITION,OK,8,unparseable_numeric_fragment:6. | unparseable_numeric_fragment:0. | all_checks_passed,"Energie 2380kJ Energie 570kcal Fett 34g Fett, davon gesättigte Fettsäuren 16g Kohlenhydrate 58g Kohlenhydrate, davon Zucker 53g Eiweiß 6.7g…"
32965,Lindt Schoko Kugeln Mix mit zartschmelzender Füllung 145g 2er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2652 kJ 640 kcal Fett 51 g davon gesättigte Fettsäuren 36 g Kohlenhydrate 39 g davon Zucker 37 g Eiweiß 4,8 g Salz 0,12 g"
33141,Lindt Cresta Eier 5 Ostereier aus Alpenvollmilchschokolade 3er Pack,NUTRITION,OK,8,unparseable_numeric_fragment:6. | unparseable_numeric_fragment:0. | all_checks_passed,"Energie 2380kJ Energie 570kcal Fett 34g Fett, davon gesättigte Fettsäuren 16g Kohlenhydrate 58g Kohlenhydrate, davon Zucker 53g Eiweiß 6.7g…"
33142,Lindt Nougat Baumbehang Pralinen aus Vollmilchschokolade 100g 3er Pack,NUTRITION,OK_WITH_WARNINGS,9,"unparseable_numeric_fragment:8, | unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2347.0 not in [0.0, 900.0] | energy_mismatch:kJ=563.0 inconsistent_with_kcal=2347.0 | warnings_present","Brennwert: 563 Kilokalorien (kcal) Brennwert: 2347 Kilojoule (kJ) Kohlenhydrate: 54g Kohlenhydrate, davon Zucker: 51g Fett: 34g Fett, davon…"
33147,Lindt Goldhase Nuss aus feinster Schokolade Osterhase 100g 4er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2546.0 not in [0.0, 900.0] | energy_mismatch:kJ=612.0 inconsistent_with_kcal=2546.0 | warnings_present","Brennwert: 612,00 Kilokalorien (kcal) Brennwert: 2.546,00 Kilojoule (kJ) Fett: 43,00 Fett, davon gesättigte Fettsäuren: 19,00 Kohlenhydrate…"
33157,Lindt Frohes Fest Pralines Mischung aus Pralinen 180g 2er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2170 kJ 520 kcal Fett 30 g davon gesättigte Fettsäuren 15 g Kohlenhydrate 54 g davon Zucker 52 g Eiweiß 6,7 g Salz 0,41 g"
33159,Lindt Mini Tisch Adventskalender Weihnachtszauber Schoko 115g 2er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2409 kJ 578 kcal Fett 38 g davon gesättigte Fettsäuren 24 g Kohlenhydrate 51 g davon Zucker 49 g Eiweiß 6,6 g Salz 0,15 g"
33177,Lindt Marc de Champagne Trüffel Eier weiße Schokolade 90g 3er Pack,NUTRITION,OK,8,all_checks_passed,"Energie (kj) 2094 Energie (kcal) 500,0 Fett (g) 28 gesättigte Fettsäuren (g) 17 Kohlenhydrate (g) 52 davon Zucker (g) 51 Eiweiß (g) 5,3 Sal…"
33183,Lindt Creation Chocolate de Luxe mit Schokokern 150g 7er Pack,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2229kJ / 534 kcal Fett 31,0 g gesättigte Fettsäuren 18,0 g Kohlenhydrate 55,0 g davon Zucker 51,0 g Eiweiß 6,2 g Salz 0…"
33184,Lindt Excellence Extra Cremig Vollmilch Schokoladentafel 100g 4er Pack,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2369 kJ / 569 kcal Fett 37,0 g gesättigte Fettsäuren 23,0 g Kohlenhydrate 51,0 g davon Zucker 50,0 g Eiweiß 6,4 g Salz …"
33190,Lindt Pralines Hochfein feinster Praline Spezialitäten 120g 2er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:salt_g:100.0 not in [0.0, 15.0] | warnings_present","Energie (KJ) per 100 g/ml 2340 KJ Energie (kcal) per 100 g/ml 562 kcal Fett per 100 g/ml 36.0 g Fett, davon gesättigte Fettsäuren pro 100 g…"
33195,Lindt und Sprüngli Spezialitäten Oster Eier Beutel 90g 3er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2322 kJ 557 kcal Fett 36 g davon gesättigte Fettsäuren 21 g Kohlenhydrate 50 g davon Zucker 44 g Eiweiß 5,9 g Salz 0,12 g"
33202,Lindt Mini Goldhasen Hohlfigur aus Alpenvollmilch 50g 5er Pack,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2350 kJ / 564 kcal Fett 36 g gesättigte Fettsäuren 22 g Kohlenhydrate 52 g davon Zucker 50 g Eiweiß 7,1 g Salz 0,31 g"
33205,Lindt Oster Minis Köcher Mini Ostereiern mit Alpenmilch 2er Pack,NUTRITION,OK,7,all_checks_passed,"Energie 2336 kJ 560 kcal Fett 35 g davon ges. Fettsäuren 20 g Kohlenhydrate 53 g davon Zucker 53 g Eiweiß 7,3 g Salz 0,20 g"
33206,Lindt Mini Weihnachtsmänner mit Perforation Milch 50g 5er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2377.0 not in [0.0, 900.0] | energy_mismatch:kJ=570.0 inconsistent_with_kcal=2377.0 | warnings_present","Brennwert: 570,00 Kilokalorien (kcal) Brennwert: 2.377,00 Kilojoule (kJ) Fett: 37,00 Fett, davon gesättigte Fettsäuren: 22,00 Kohlenhydrate…"
33209,Lindt Mini Schneemänner aus Alpenvollmilchschokolade 50g 3er Pack,NUTRITION,OK,7,all_checks_passed,"Energie 2377 kJ 570 kcal Fett 37 g davon ges. Fettsäuren 22 g Kohlenhydrate 51 g davon Zucker 50 g Eiweiß 7,4 g Salz 0,20 g"
33213,Lindt Goldhase aus Alpenmilch Schokolade 200g 3er Pack Hohlfigur,NUTRITION,OK,7,all_checks_passed,"Energie 2377 kJ 570 kcal Fett 37 g davon ges. Fettsäuren 22 g Kohlenhydrate 51 g davon Zucker 50 g Eiweiß 7,4 g Salz 0,20 g"
33215,Lindt und Sprüngli Deko Edition Henne Hohlfigur 35g 5er Pack,NUTRITION,OK,8,all_checks_passed,"Energie / Brennwert 2272 kJ / 544 kcal Fett 32 g gesättigte Fettsäuren 19 g Kohlenhydrate 56 g davon Zucker 54 g Eiweiß 5,1 g Salz 0,32 g"
33218,Lindt Weihnachtsmann Hohlfigur aus Vollmilchschokolade 70g 3er Pack,NUTRITION,OK,7,all_checks_passed,"Energie 2377 kJ 570 kcal Fett 37 g davon ges. Fettsäuren 22 g Kohlenhydrate 51 g davon Zucker 50 g Eiweiß 7,4 g Salz 0,20 g"
33221,Lindt Oster Freuden zwei Goldhasen in einer Tasche 100g 3er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:2294.0 not in [0.0, 900.0] | energy_mismatch:kJ=550.0 inconsistent_with_kcal=2294.0 | warnings_present","Brennwert: 550,00 Kilokalorien (kcal) Brennwert: 2.294,00 Kilojoule (kJ) Fett: 33,00 Fett, davon gesättigte Fettsäuren: 20,00 Kohlenhydrate…"
33227,Lindt Weihnachtsschokolade Mandel aus Vollmilch 100g 4er Pack,NUTRITION,OK,7,all_checks_passed,"Energie 2469 kJ 593 kcal Fett 39 g davon ges. Fettsäuren 17 g Kohlenhydrate 50 g davon Zucker 46 g Eiweiß 7,9 g Salz 0,18 g"
33234,Lindt Mini Tisch Adventskalender Frohes Fest Schokolade 115g 2er Pack,NUTRITION,OK,8,all_checks_passed,"Energie 2398 kJ 576 kcal Fett 38 g davon gesättigte Fettsäuren 25 g Kohlenhydrate 51 g davon Zucker 50 g Eiweiß 6,6 g Salz 0,18 g"
33238,Lindt Eiscafe weiße Schokolade mit Eiskaffee Creme 100g 5er Pack,NUTRITION,OK_WITH_WARNINGS,8,"unparseable_numeric_fragment:0, | plausibility_out_of_range:kcal:2459.0 not in [0.0, 900.0] | energy_mismatch:kJ=590.0 inconsistent_with_kcal=2459.0 | warnings_present","Brennwert: 590,00 Kilokalorien (kcal) Brennwert: 2.459,00 Kilojoule (kJ) Fett: 40,00 Fett, davon gesättigte Fettsäuren: 25,00 Kohlenhydrate…"
33242,Lindt Creation Schokolade mit Pistazie und Mandelstückchen 148g,NUTRITION,OK,8,all_checks_passed,Nährwertinformation pro 100 g Energie 2385 kJ 573 kcal Fett 39 g davon gesättigte Fettsäuren 23 g Kohlenhydrate 46 g davon Zucker 45 g Eiwe…
33246,Lindt Cognac Eier Ostereier aus Zartbitter Schokolade 3er Pack,NUTRITION,OK_WITH_WARNINGS,8,"plausibility_out_of_range:kcal:1867.0 not in [0.0, 900.0] | energy_mismatch:kJ=434.0 inconsistent_with_kcal=1867.0 | warnings_present","Brennwert: 434,00 Kilokalorien (kcal) Brennwert: 1.867,00 Kilojoule (kJ) Fett: 22,00 Fett, davon gesättigte Fettsäuren: 14,00 Kohlenhydrate…"
